"train/epoch","_step","train/loss","train/learning_rate"
"0.4672897196261682","0","1.2925","0.000048504672897196265"
"0.9345794392523364","1","0.8461","0.00004694704049844237"
"1.4018691588785046","3","0.6561","0.00004538940809968847"
"1.8691588785046729","4","0.6078","0.00004383177570093458"
"2.336448598130841","6","0.4945","0.000042274143302180684"
"2.803738317757009","7","0.4431","0.00004071651090342679"
"3.2710280373831777","9","0.3684","0.0000391588785046729"
"3.7383177570093458","10","0.3181","0.000037601246105919004"
"4.205607476635514","12","0.2698","0.00003604361370716511"
"4.672897196261682","13","0.2103","0.00003448598130841122"
"5.140186915887851","15","0.1805","0.000032928348909657324"
"5.607476635514018","16","0.1211","0.00003137071651090343"
"6.074766355140187","18","0.1165","0.000029813084112149538"
"6.542056074766355","19","0.061","0.00002825545171339564"
"7.009345794392523","21","0.0589","0.000026697819314641748"
"7.4766355140186915","22","0.0266","0.000025140186915887854"
"7.94392523364486","23","0.0263","0.000023582554517133958"
"8.411214953271028","25","0.0125","0.000022024922118380064"
"8.878504672897197","26","0.0098","0.00002046728971962617"
"9.345794392523365","28","0.0063","0.000018909657320872278"
"9.813084112149532","29","0.0035","0.00001735202492211838"
"10.280373831775702","31","0.0028","0.000015794392523364488"
"10.74766355140187","32","0.002","0.000014236760124610593"
"11.214953271028037","34","0.0015","0.0000126791277258567"
"11.682242990654206","35","0.0016","0.000011121495327102804"
"12.149532710280374","37","0.0012","0.000009563862928348911"
"12.616822429906541","38","0.0012","0.000008006230529595016"
"13.08411214953271","40","0.001","0.000006448598130841122"
"13.551401869158878","41","0.0009","0.0000048909657320872275"
"14.018691588785046","43","0.0009","0.0000033333333333333333"
"14.485981308411215","44","0.0009","0.0000017757009345794396"
"14.953271028037383","45","0.0009","2.1806853582554518e-7"